datetime,jd,obs_change,dt_sec,dm,dmerr,N,m,merr,observer,H_alpha,H,RA_deg,DEC_deg,RA_rate,DEC_rate,RA_3sigma,DEC_3sigma,V,r,r_rate,delta,delta_rate,lighttime,alpha,ObsEclLon,ObsEclLat
1992-12-29T03:39:00.000,2448985.652083333,True,119.99999284744263,-0.16000000000000014,0.02,3,11.81,0.0,Angeli,15.887740731039212,14.680006990364229,127.30448,17.36674,-0.02332113888888889,0.011146572222222222,0.008,0.027,12.43,1.107563589374,13.3340776,0.13806486853688,11.6161642,68.895,24.3156,125.2679071,-1.6121345
1992-12-29T04:15:00.000,2448985.6770833335,False,2160.000032186508,-0.009999999999999787,0.0,2,11.8,0.0,Angeli,15.874726828359346,14.668264249422453,127.28984,17.37342,-0.023282694444444446,0.011123016666666666,0.008,0.027,12.43,1.107756134081,13.3375821,0.13823259811249,11.6191404,68.9787,24.2759,125.2527263,-1.6090147
1992-12-29T04:37:00.000,2448985.6923611113,True,1320.0000017881393,0.16000000000000014,0.02,1,11.96,0.02,Pravec,16.032886224593785,14.82720199131322,127.2809,17.3775,-0.02325925,0.011108658333333332,0.008,0.027,12.43,1.107873825188,13.3397219,0.1383351206836,11.6209607,69.02988,24.2516,125.2434619,-1.6071115
1992-12-29T16:58:00.000,2448986.206944444,True,44459.99996513128,0.16999999999999993,0.02,1,12.13,0.0,V.S. Shevchenko,16.14142513495778,14.961777984947378,126.98488,17.51192,-0.022494916666666667,0.010641641666666667,0.008,0.026,12.47,1.111848823331,13.4110057,0.14179771491944,11.6829235,70.75775999999999,23.4426,124.9369738,-1.5444754
1992-12-29T17:42:00.000,2448986.2375,False,2640.0000035762787,0.049999999999998934,0.04,5,12.18,0.04,V.S. Shevchenko,16.187807672284656,15.00970020544207,126.9676,17.51972,-0.022451,0.010614886111111112,0.008,0.026,12.47,1.112085519222,13.4151904,0.14200390255108,11.6866431,70.86059999999999,23.395,124.9191062,-1.5408436
1992-12-29T18:35:00.000,2448986.2743055555,False,3180.0000116229057,0.030000000000001137,0.04123105625617661,4,12.21,0.01,V.S. Shevchenko,16.213454959156998,15.037198864028285,126.94684,17.5291,-0.022398305555555553,0.010582794444444444,0.008,0.026,12.47,1.112370728155,13.420224,0.1422523521509,11.6911295,70.98461999999999,23.3378,124.897632,-1.5364816
1992-12-29T21:01:00.000,2448986.3756944444,True,8760.00000089407,0.14999999999999858,0.03162277660168379,1,12.36,0.03,Pravec,16.351490807612798,15.180335831920583,126.88988,17.55477,-0.022254361111111114,0.010495183333333333,0.008,0.026,12.48,1.11315695042,13.4340498,0.14293725453503,11.7035228,71.32638,23.1804,124.838747,-1.5245369
1992-12-29T22:07:00.000,2448986.421527778,False,3960.000005364418,0.0,0.042426406871192854,1,12.36,0.03,Pravec,16.346094969834894,15.177244207605685,126.86424,17.5663,-0.022189833333333332,0.010455949999999999,0.008,0.026,12.48,1.113512631304,13.4402806,0.143247106464,11.7091418,71.481,23.1094,124.812257,-1.5191713
1992-12-30T21:43:00.000,2448987.404861111,True,84960.00000536442,-0.1399999999999988,0.05,1,12.22,0.04,Kozhevnikov,16.09215844738112,14.972375066253111,126.33121,17.80381,-0.020884194444444445,0.009666444444444445,0.007,0.025,12.55,1.121182770969,13.5710873,0.14993115793694,11.8322171,74.81634,21.6125,124.2624722,-1.4089302
1993-01-01T01:39:00.000,2448988.56875,False,100560.00000089407,0.05999999999999872,0.0565685424949238,1,12.28,0.04,Kozhevnikov,16.02153558824985,14.959149103684526,125.73882,18.06239,-0.01950836111111111,0.008845458333333334,0.007,0.024,12.62,1.130355034867,13.7189529,0.15793486344922,11.9842558,78.81024,19.8999,123.6539288,-1.2894748
1993-01-01T22:47:00.000,2448989.449305556,True,76080.0000116229,0.08000000000000007,0.044721359549995794,1,12.36,0.02,Pravec,16.00550635483907,14.986203885320279,125.31566,18.2436,-0.018569055555555557,0.008293,0.006,0.023,12.67,1.137359091152,13.8259384,0.16405940254947,12.1039564,81.8664,18.6435,123.220799,-1.2061522
1993-01-01T23:43:00.000,2448989.488194444,False,3359.9999606609344,0.009999999999999787,0.0282842712474619,1,12.37,0.02,Pravec,16.0113176657546,14.993911512109653,125.29744,18.25133,-0.018529361111111108,0.00826981111111111,0.006,0.023,12.68,1.13766966414,13.830568,0.16433129929279,12.1093363,82.00212,18.5888,123.2021748,-1.2026016
1993-01-02T01:01:00.000,2448989.542361111,False,4680.000002682209,0.02000000000000135,0.0282842712474619,1,12.39,0.02,Pravec,16.025490604271063,15.010725630777383,125.27212,18.26208,-0.01847427777777778,0.008237677777777777,0.006,0.023,12.68,1.13810242103,13.8370032,0.16471021418989,12.116843,82.19118,18.5127,123.1763029,-1.1976738
1993-01-02T02:20:00.000,2448989.597222222,False,4739.99999910593,0.05999999999999872,0.0282842712474619,1,12.45,0.02,Pravec,16.07959732780061,15.067508320875284,125.24655,18.27291,-0.018418805555555556,0.008205325,0.006,0.023,12.68,1.13854093102,13.8435051,0.16509422661327,12.1244616,82.38282,18.4357,123.1501807,-1.1927035
1993-01-02T03:15:00.000,2448989.6354166665,False,3300.0000044703484,0.02000000000000135,0.0282842712474619,1,12.47,0.02,Pravec,16.095499439089586,15.085275304847244,125.22879,18.28043,-0.018380333333333335,0.008182911111111111,0.006,0.023,12.68,1.138846344296,13.8480223,0.16536171969753,12.129775,82.51625999999999,18.3821,123.1320425,-1.1892555
1993-01-02T04:46:00.000,2448989.698611111,False,5459.999996423721,0.02999999999999936,0.0282842712474619,1,12.5,0.02,Pravec,16.118728316902487,15.111583662233476,125.19949,18.29283,-0.018316972222222224,0.008146030555555555,0.006,0.023,12.69,1.139351882983,13.8554795,0.16580455684773,12.138583,82.73724,18.2937,123.1021184,-1.1835725
1993-01-02T18:51:00.000,2448990.285416667,True,50700.00003576279,0.2599999999999998,0.05385164807134505,3,12.76,0.05,Velichko,16.316380823557424,15.33781651109147,124.93206,18.40533,-0.01774547222222222,0.007815094444444445,0.006,0.022,12.72,1.144059048229,13.9237276,0.16993208851356,12.221371,84.79692,17.4799,122.8292845,-1.1320777
1993-01-02T19:10:00.000,2448990.298611111,False,1139.9999722838402,0.02999999999999936,0.05385164807134505,6,12.79,0.02,Velichko,16.34498967774577,15.367065908893188,124.92614,18.40781,-0.017732972222222223,0.007807886111111111,0.006,0.022,12.72,1.144165154456,13.9252417,0.17002522070183,12.2232533,84.84342,17.4618,122.8232522,-1.1309457
1993-01-02T20:25:00.000,2448990.3506944445,False,4500.000013411045,0.030000000000001137,0.06324555320336758,6,12.82,0.06,Velichko,16.369502849979163,15.394115086001028,124.90281,18.41756,-0.017683694444444443,0.007779522222222222,0.006,0.022,12.73,1.144584107384,13.9312092,0.1703929879414,12.2306921,85.0269,17.3902,122.7994833,-1.126488
1993-01-02T21:37:00.000,2448990.4006944443,False,4319.999983906746,-0.030000000000001137,0.07211102550927978,5,12.79,0.04,Velichko,16.33424228663809,15.361287494064442,124.88048,18.42689,-0.01763661111111111,0.007752436111111111,0.006,0.022,12.73,1.144986470863,13.9369249,0.17074625522047,12.2378467,85.20318,17.3216,122.7767297,-1.1222249
1993-01-02T21:53:00.000,2448990.4118055557,True,960.0000232458115,-0.05999999999999872,0.044721359549995794,1,12.73,0.02,Pravec,16.27307417329261,15.300658893859685,124.87553,18.42896,-0.017626194444444444,0.007746436111111111,0.006,0.022,12.73,1.145075907372,13.9381933,0.17082478713498,12.2394384,85.24236,17.3064,122.7716819,-1.1212797
1993-01-02T22:30:00.000,2448990.4375,True,2219.9999883770943,0.08000000000000007,0.044721359549995794,2,12.81,0.04,Velichko,16.35037416294076,15.379208882312646,124.86408,18.43374,-0.017602083333333334,0.00773258611111111,0.006,0.022,12.73,1.145282760451,13.941124,0.17100643132155,12.2431216,85.33302,17.2712,122.7600207,-1.1190969
1993-01-02T22:47:00.000,2448990.449305556,True,1020.0000196695328,-0.08999999999999986,0.044721359549995794,1,12.72,0.02,Pravec,16.259134202812433,15.288544487927547,124.85883,18.43593,-0.01759102777777778,0.007726236111111112,0.006,0.022,12.73,1.145377815633,13.9424694,0.17108990779656,12.2448151,85.37466,17.255,122.7546684,-1.1180953
1993-01-02T23:37:00.000,2448990.484027778,True,2999.9999821186066,0.06999999999999851,0.022360679774997897,5,12.79,0.01,Velichko,16.325489392845654,15.356588322318816,124.8434,18.44237,-0.017558583333333332,0.0077076,0.006,0.022,12.73,1.145657442819,13.9464224,0.17133549379542,12.2498001,85.49724,17.2075,122.7389466,-1.1151547
1993-01-02T23:55:00.000,2448990.496527778,True,1080.000016093254,-0.09999999999999964,0.022360679774997897,1,12.69,0.02,Pravec,16.224178038816042,15.25588525682985,124.83785,18.44468,-0.017546944444444445,0.007700908333333333,0.006,0.022,12.73,1.145758128003,13.9478439,0.17142392924011,12.2515963,85.54134,17.1904,122.7332941,-1.114098
1993-01-03T00:24:00.000,2448990.5166666666,False,1739.9999767541885,0.02000000000000135,0.0282842712474619,1,12.71,0.02,Pravec,16.242066166191563,15.274752045371702,124.82891,18.44841,-0.017528194444444443,0.007690144444444444,0.006,0.022,12.74,1.145920364592,13.9501325,0.17156643584962,12.2544918,85.6125,17.1629,122.7241955,-1.1123975
1993-01-03T00:52:00.000,2448990.5361111113,True,1680.0000205636024,0.02999999999999936,0.03605551275463989,3,12.74,0.03,Velichko,16.270028127450093,15.303661132067461,124.8203,18.452,-0.01751011111111111,0.007679772222222222,0.006,0.022,12.74,1.146077032065,13.9523402,0.17170406041221,12.2572895,85.68114,17.1363,122.7154203,-1.110758
1993-01-03T01:32:00.000,2448990.563888889,True,2399.999977648258,-0.0600000000000005,0.03605551275463989,1,12.68,0.02,Pravec,16.207118363133098,15.242101683758955,124.808,18.45712,-0.017484333333333334,0.007664991666666667,0.006,0.022,12.74,1.146300885715,13.9554907,0.17190072145665,12.2612896,85.77929999999999,17.0984,122.7029005,-1.10842
1993-01-03T17:38:00.000,2448991.234722222,True,57960.00000536442,0.5400000000000009,0.02,1,13.22,0.0,V.S. Shevchenko,16.677450598964445,15.745056729173058,124.51639,18.57786,-0.016879722222222223,0.007320361111111112,0.006,0.022,12.77,1.151722141299,14.0303795,0.17666973767665,12.3591172,88.15902,16.1913,122.4062513,-1.0533799
1993-01-03T18:32:00.000,2448991.2722222223,False,3240.000008046627,0.08999999999999986,0.01,2,13.31,0.01,V.S. Shevchenko,16.763589664430846,15.833018812160669,124.50039,18.58445,-0.01684688888888889,0.007301769444444445,0.005,0.022,12.78,1.152026044229,14.0344985,0.1769374523201,12.3646551,88.29263999999999,16.1411,122.3899849,-1.0503818
1993-01-03T19:23:00.000,2448991.3076388887,False,3059.999978542328,0.019999999999999574,0.022360679774997897,3,13.33,0.02,V.S. Shevchenko,16.7799464250364,15.851098663111383,124.4853,18.59066,-0.016815972222222222,0.007284275,0.005,0.022,12.78,1.152313145499,14.0383823,0.17719040413602,12.3698921,88.41888,16.0937,122.3746524,-1.0475576
1993-01-03T20:33:00.000,2448991.35625,False,4200.0000312924385,-0.05000000000000071,0.0282842712474619,5,13.28,0.02,V.S. Shevchenko,16.724950944150837,15.798468856831711,124.46463,18.59915,-0.016773694444444445,0.007260358333333334,0.005,0.022,12.78,1.152707335273,14.0437026,0.17753776747697,12.3770908,88.59222,16.0287,122.3536553,-1.043693
1993-01-03T21:07:00.000,2448991.3798611113,False,2039.9999991059303,-0.03999999999999915,0.02,1,13.24,0.0,V.S. Shevchenko,16.68252666766296,15.75719218788864,124.45461,18.60327,-0.016753194444444446,0.007248783333333333,0.005,0.022,12.78,1.152898852726,14.0462825,0.17770655978265,12.3805917,88.6764,15.9972,122.3434765,-1.0418208
1993-01-03T22:30:00.000,2448991.4375,True,4979.999984800816,-0.08999999999999986,0.03,1,13.15,0.03,Pravec,16.58661432907292,15.664081032965756,124.4302,18.61329,-0.01670336111111111,0.007220638888888888,0.005,0.022,12.79,1.153366528221,14.0525687,0.17811881229057,12.3891504,88.88213999999999,15.9204,122.3186823,-1.0372638
1993-01-03T23:29:00.000,2448991.478472222,False,3539.9999901652336,-0.08000000000000007,0.05830951894845301,2,13.07,0.05,Pravec,16.502416526134635,15.581877478371723,124.41289,18.62039,-0.016668055555555557,0.007200730555555556,0.005,0.021,12.79,1.153699099346,14.0570271,0.17841203265555,12.3952447,89.02848,15.8658,122.3011041,-1.0340359
1993-01-04T00:32:00.000,2448991.5222222223,False,3780.000016093254,-0.019999999999999574,0.05385164807134505,2,13.05,0.02,Pravec,16.477938645498664,15.55952789701276,124.39445,18.62794,-0.0166305,0.007179558333333333,0.005,0.021,12.79,1.154054334013,14.0617785,0.17872529171283,12.4017619,89.18478,15.8076,122.2823766,-1.0305996
1993-01-04T20:34:00.000,2448992.3569444446,False,72120.00000625849,-0.3500000000000014,0.0282842712474619,2,12.7,0.02,Pravec,16.043377300591608,15.165617072354845,124.05022,18.76801,-0.01593747222222222,0.0067922166666666665,0.005,0.021,12.83,1.16085468002,14.1506139,0.18473393589045,12.5280096,92.1831,14.7101,121.9332761,-0.9670438
1993-01-05T00:57:00.000,2448992.5395833333,False,15779.999984800816,0.10000000000000142,0.0282842712474619,1,12.8,0.02,Pravec,16.125090775742645,15.256240288552837,123.97679,18.79764,-0.0157915,0.006711463888888889,0.005,0.021,12.84,1.162348266275,14.1695952,0.18605681090317,12.5561142,92.84322,14.4732,121.8589149,-0.9536282
1993-01-05T02:13:00.000,2448992.592361111,False,4560.000009834766,0.05999999999999872,0.0282842712474619,1,12.86,0.02,Pravec,16.179820502408866,15.313548124449026,123.95569,18.80614,-0.015749666666666665,0.006688383333333333,0.005,0.021,12.85,1.16278024496,14.1750501,0.186439639624,12.5642678,93.03425999999999,14.4049,121.837558,-0.9497831
1993-01-05T03:09:00.000,2448992.63125,False,3360.0000008940697,0.0,0.0282842712474619,1,12.86,0.02,Pravec,16.175941146196383,15.311566367090117,123.94018,18.81238,-0.01571897222222222,0.006671447222222222,0.005,0.021,12.85,1.16309865132,14.1790609,0.18672188310732,12.5702849,93.17514,14.3547,121.8218588,-0.9469588
1993-01-05T04:00:00.000,2448992.6666666665,False,3059.999978542328,0.02000000000000135,0.0282842712474619,1,12.88,0.02,Pravec,16.192411107213832,15.329765830140468,123.92608,18.81805,-0.015691055555555555,0.006656077777777778,0.005,0.021,12.85,1.163388706838,14.1827072,0.18697904394317,12.5757716,93.30341999999999,14.309,121.807589,-0.9443933
1993-01-05T05:01:00.000,2448992.709027778,False,3660.0000232458115,-0.040000000000000924,0.0282842712474619,1,12.84,0.02,Pravec,16.148192581715797,15.287616145661657,123.90925,18.82482,-0.015657777777777777,0.006637758333333334,0.005,0.021,12.85,1.163735733844,14.1870604,0.18728677598109,12.5823425,93.45702,14.2544,121.7905555,-0.9413331
1993-01-11T13:29:00.000,2448999.0618055556,True,548879.9999937415,0.5999999999999996,0.022360679774997897,1,13.44,0.01,Spencer,16.154879980640068,15.618852507269576,121.73449,19.66227,-0.011524305555555555,0.004511833333333333,0.004,0.017,13.12,1.216868855447,14.7475877,0.23538578272587,13.6737652,117.45864,6.6834,119.6054898,-0.5663395
1993-01-11T14:29:00.000,2448999.103472222,False,3599.999986588955,-0.10999999999999943,0.01414213562373095,1,13.33,0.01,Spencer,16.041212603345873,15.507484562668337,121.72227,19.66678,-0.011501277777777779,0.004500969444444444,0.004,0.017,13.12,1.217223770211,14.7506965,0.23571491007823,13.6816382,117.62286,6.6375,119.593292,-0.5643349
